,OBJECTID_left,CRIMEID,CCN,REPORTDATE,ROUTEID,MEASURE,OFFSET,STREETSEGID,ROADWAYSEGID,FROMDATE,TODATE,MARID,ADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,WARD,EVENTID,MAR_ADDRESS,MAR_SCORE,MAJORINJURIES_BICYCLIST,MINORINJURIES_BICYCLIST,UNKNOWNINJURIES_BICYCLIST,FATAL_BICYCLIST,MAJORINJURIES_DRIVER,MINORINJURIES_DRIVER,UNKNOWNINJURIES_DRIVER,FATAL_DRIVER,MAJORINJURIES_PEDESTRIAN,MINORINJURIES_PEDESTRIAN,UNKNOWNINJURIES_PEDESTRIAN,FATAL_PEDESTRIAN,TOTAL_VEHICLES,TOTAL_BICYCLES,TOTAL_PEDESTRIANS,PEDESTRIANSIMPAIRED,BICYCLISTSIMPAIRED,DRIVERSIMPAIRED,TOTAL_TAXIS,TOTAL_GOVERNMENT,SPEEDING_INVOLVED,NEARESTINTROUTEID,NEARESTINTSTREETNAME,OFFINTERSECTION,INTAPPROACHDIRECTION,LOCATIONERROR,LASTUPDATEDATE,MPDLATITUDE,MPDLONGITUDE,MPDGEOX,MPDGEOY,BLOCKKEY,SUBBLOCKKEY,FATALPASSENGER,MAJORINJURIESPASSENGER,MINORINJURIESPASSENGER,UNKNOWNINJURIESPASSENGER,geometry,YEAR,index_right,OBJECTID_right,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SQMILES
133224,167467297,27648578,18061094,2018-04-17T15:33:34+00:00,13081512,9930.84,21.4,-9.0,31057.0,2018-04-17T04:00:00+00:00,1970-01-01T00:00:00+00:00,298187,5900 SOUTHERN AVENUE SE,38.88871,-76.916375,407255.14,135655.309,Ward 7,{7AC4A77E-8C90-482B-B854-3EE9039EADFB},5952 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13027522,DAVEY ST SE,6.51,Southwest,,1970-01-01T00:00:00+00:00,38.888795,-76.914256,407268.19,135659.58,b973579622628dcb16ac843319e5f0e3,5bfc4f02897dd344eb0cf13554c92b04,0,0,0,0,POINT Z (-76.91443319215504 38.8889387145374 0),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133236,167467309,25251230,15046930,2015-04-04T05:00:00+00:00,Route not found,0.0,0.0,-9.0,30907.0,2015-04-04T04:00:00+00:00,1970-01-01T00:00:00+00:00,241366,1765 U ST NW,38.917335,-77.040608,396478.345,138830.328,Ward 1,{0F1612D6-B2EB-4B11-AA05-DA5CC78B1384},1765 U STREET NW,100.0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,2,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133344,167467417,26906980,16054865,2016-04-10T04:20:41+00:00,12051802A,1404.31,25.41,-9.0,25387.0,2016-04-09T04:00:00+00:00,1970-01-01T00:00:00+00:00,299898,1628 KENILWORTH AVENUE NE,38.912096,-76.933587,405773.052,138234.609,Ward 7,{10A26881-C9AF-4586-BCA0-E98D01556D1C},1624 EASTERN AVENUE NE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,36000422,Ramp-36000422,12.81,Southwest,,1970-01-01T00:00:00+00:00,38.912096,-76.933587,405615.17,138276.03,4ead5e80f26ed1dde79fe717dbfc7ab5,1270459e5be59dee30305d44c4f78fce,0,0,1,0,POINT Z (-76.93382738648681 38.91223715158905 0),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133355,167467428,25019134,14084545,2014-06-11T05:00:00+00:00,0,0.0,0.0,8899.0,9450.0,2014-06-11T04:00:00+00:00,1970-01-01T00:00:00+00:00,903051,WESTERN AVE NW and  WISCONSIN AVE NW,38.960783,-77.085733,392569.555,143656.141,Ward 3,{7C4DDF7F-F9D7-46E3-A9E1-90E12AD55C00},WESTERN AVENUE NW AND WISCONSIN AVENUE NW,100.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,Northeast,,1970-01-01T00:00:00+00:00,,,,,d0b38d2a96a35a119484051fac35867a,d0b38d2a96a35a119484051fac35867a,0,0,0,0,POINT Z (-77.08573535030104 38.96079078951708 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133357,167467430,27431450,17159226,2017-09-14T07:15:28+00:00,13081512,8956.58,8.77,13105.0,13200.0,2017-09-14T04:00:00+00:00,1970-01-01T00:00:00+00:00,9205,5600 SOUTHERN AVENUE SE,38.882227,-76.923032,406678.199,134935.142,Ward 7,{813DF294-9C27-4C7E-9828-B989C898985E},5412 E STREET SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13026912,D ST SE,86.11,Southwest,,1970-01-01T00:00:00+00:00,38.882171,-76.92296,406920.99,135204.02,8fea072a404c8d964e83d892fa92615f,8fea072a404c8d964e83d892fa92615f,0,0,0,0,POINT Z (-76.9230336412553 38.88223465729831 0),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133453,167467526,27431923,17159589,2017-09-15T00:18:10+00:00,13081512,7650.92,4.55,255.0,18935.0,2017-09-14T04:00:00+00:00,1970-01-01T00:00:00+00:00,22624,4416 SOUTHERN AVENUE SE,38.872922,-76.935064,405634.916,133901.378,Ward 7,{BAAAE09B-7BAD-41C4-ABE6-045CFA5FEB50},4384 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13075662,RIDGE RD SE,4.55,Southwest,,1970-01-01T00:00:00+00:00,38.872895,-76.935087,405657.56,133945.18,ac324466e7c8b700a7269dc37c23be9b,ac324466e7c8b700a7269dc37c23be9b,0,0,0,0,POINT Z (-76.93505231450088 38.87287368430701 0),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133614,167467687,25313645,15111060,2015-07-21T05:00:00+00:00,12031982,2699.32,0.01,10136.0,5814.0,2015-07-21T04:00:00+00:00,1970-01-01T00:00:00+00:00,908168,EASTERN AVE NE and  MINNESOTA AVE NE,38.910116,-76.931408,405949.09,138030.51,Ward 7,{97D0C99D-0023-410A-906C-6195739B7870},MINNESOTA AVENUE NE AND EASTERN AVENUE NE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,12009132,ADDISON RD NE,0.01,Southeast,,1970-01-01T00:00:00+00:00,,,,,f171b9dfa2295d05e1686f0806757b54,ff385406f590711daecf400d30d402a4,0,0,0,0,POINT Z (-76.93141018023137 38.91012385938996 0),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133701,167467774,27101633,16179045,2016-10-21T15:57:12+00:00,11092692,1821.96,0.99,8899.0,9450.0,2016-10-21T04:00:00+00:00,1970-01-01T00:00:00+00:00,294843,5300 WESTERN AVE NW,38.960729,-77.085789,392563.975,143650.945,Ward 3,{6C6E5442-2031-429A-ACEE-621D6045A866},,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,11094052,WISCONSIN AVE NW,7.6,Southwest,,1970-01-01T00:00:00+00:00,38.960729,-77.085789,,,ff0c117e444eb7fd7f04bc107e733555,ff0c117e444eb7fd7f04bc107e733555,0,0,0,0,POINT Z (-77.0857990984706 38.96074331426013 0),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133774,167467847,24586135,09177188,2009-12-13T05:00:00+00:00,12031982,3492.68,0.01,2178.0,2710.0,2009-12-12T05:00:00+00:00,1970-01-01T00:00:00+00:00,802469,3400 BLOCK EASTERN AVE NE,38.93285,-76.960441,403429.961,140552.611,Ward 5,{1A565DAB-5513-4435-BFAA-9CBD15923C06},EASTERN AVENUE NE FROM 37TH STREET NE TO MONROE STREET NE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,12003702,37TH ST NE,117.22,Northwest,,1970-01-01T00:00:00+00:00,,,,,b5788fe4c9ad3f08ecaeaa0978283047,b5788fe4c9ad3f08ecaeaa0978283047,0,1,0,0,POINT Z (-76.96044337945821 38.93285771616157 0),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133794,167467867,26642089,11139109,2011-09-22T05:00:00+00:00,0,0.0,0.05,8019.0,8620.0,2011-09-22T04:00:00+00:00,1970-01-01T00:00:00+00:00,809382,700 BLOCK OF 8TH STREET NW,38.98273,-77.024133,397909.0,146089.301,Ward 4,{705DFF60-E690-426C-B9DC-6320BD2B11FF},8TH STREET NW FROM JUNIPER STREET NW TO JUNIPER STREET NW,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,Northeast,,1970-01-01T00:00:00+00:00,,,,,377a804af018c8924dbd505ab2073255,377a804af018c8924dbd505ab2073255,0,0,0,0,POINT Z (-77.02413540162992 38.98273738721528 0),2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133806,167467879,26683417,15140129,2015-09-06T11:35:17+00:00,13081512,398.49,6.37,2209.0,2716.0,2015-09-06T04:00:00+00:00,1970-01-01T00:00:00+00:00,2948,"GALVESTON ST SE & SOUTHERN AVE SE
",38.823662,-76.998314,400150.902,128426.708,Ward 8,{BF491B5C-8984-441C-A096-6EFC1BB4CA36},630 GALVESTON STREET SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,13013192,BARNABY RD SE,27.45,Southwest,,1970-01-01T00:00:00+00:00,38.823662,-76.998314,400130.27,128406.01,f4569d624ded5d2d78255e6b5b75cd01,f4569d624ded5d2d78255e6b5b75cd01,0,0,0,0,POINT Z (-76.99826429281758 38.82362922189036 0),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133844,167467917,27075649,16162962,2016-09-25T14:45:08+00:00,12031982,3978.76,5.46,8646.0,9198.0,2016-09-25T04:00:00+00:00,1970-01-01T00:00:00+00:00,287607,3700 EASTERN AVE,38.93522,-76.963559,403163.352,140819.495,Ward 5,{CB02F975-D3A1-4B84-9EBB-B3D11C2E270F},3132 RHODE ISLAND AVENUE NE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12068052,OTIS ST NE,8.33,Northwest,,1970-01-01T00:00:00+00:00,38.93522,-76.963559,,,ffebfe2076a9d663bdf5a3030d74bf69,ffebfe2076a9d663bdf5a3030d74bf69,0,0,0,0,POINT Z (-76.96351671713717 38.93526261792751 0),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133932,167468005,26631266,10080393,2010-06-10T05:00:00+00:00,11092692,2479.64,0.03,4312.0,3581.0,2010-06-10T04:00:00+00:00,1970-01-01T00:00:00+00:00,804997,5600 BLOCK WESTERN AVENUE NW,38.965837,-77.079267,393130.42,144216.72,Ward 3,{84135337-1B1F-402C-941E-20AA320A8441},WESTERN AVENUE NW FROM MCKINLEY STREET NW TO OLIVER STREET NW,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11004102,41ST ST NW,135.44,Northeast,,1970-01-01T00:00:00+00:00,,,,,3e2731eda498d73385b685023c1792e6,3e2731eda498d73385b685023c1792e6,0,0,0,0,POINT Z (-77.07926905803195 38.96584460586292 0),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134080,167468153,26631468,12074301,2012-05-30T05:00:00+00:00,11092692,2479.64,22.97,4312.0,3581.0,2012-05-30T04:00:00+00:00,1970-01-01T00:00:00+00:00,264753,5600 WESTERN AVE NW,38.965156,-77.079764,393071.037,144157.44,Ward 3,{6AC60055-FC47-4C86-ADA8-452F568CB5B1},5601 WESTERN AVENUE NW,200.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,11004102,41ST ST NW,51.53,Northeast,,1970-01-01T00:00:00+00:00,38.965156,-77.079764,,,3e2731eda498d73385b685023c1792e6,3e2731eda498d73385b685023c1792e6,0,0,0,0,POINT Z (-77.07995371607089 38.96531009450285 0),2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134111,167468184,26631510,12070299,2012-05-22T05:00:00+00:00,13081512,3804.01,0.0,10709.0,11162.0,2012-05-22T04:00:00+00:00,1970-01-01T00:00:00+00:00,906509,24TH ST SE and  SOUTHERN AVE SE,38.845441,-76.970245,402583.06,130849.28,Ward 8,{4ABF0EFC-E98E-4627-90AF-DC460C3BAD86},24TH STREET SE AND SOUTHERN AVENUE SE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13002402,24TH ST SE,0.03,Southwest,,1970-01-01T00:00:00+00:00,,,,,863c0c7d23a2f8889d83a9e86769978f,863c0c7d23a2f8889d83a9e86769978f,0,0,0,0,POINT Z (-76.97024723317017 38.84544874420477 0),2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134135,167468208,26631544,12073817,2012-05-29T05:00:00+00:00,0,0.0,0.03,5172.0,5476.0,2012-05-29T04:00:00+00:00,1970-01-01T00:00:00+00:00,284546,CHEVY CHASE CIR NW & WESTERN AVE NW,38.967306,-77.077448,393288.199,144379.661,Ward 3,{1788F834-11BA-4BC8-A8B2-33AF983A555C},30 CHEVY CHASE CIRCLE NW,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,Northeast,,1970-01-01T00:00:00+00:00,38.967306,-77.077448,,,15316cb4790bc34e9a574f5c483f43f7,15316cb4790bc34e9a574f5c483f43f7,0,0,0,0,POINT Z (-77.07745055086343 38.9673135837388 0),2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134167,167468240,26804531,15207195,2015-12-29T14:53:13+00:00,13081512,4074.7,11.13,-9.0,33181.0,2015-12-29T05:00:00+00:00,1970-01-01T00:00:00+00:00,278176,2532 SOUTHERN AVENUE SE,38.84728,-76.968068,402766.857,131048.418,Ward 8,{5DE0157F-21CC-4511-93A3-AFDFD80E4BC0},2532 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,58016772,Driveway-58016772,7.28,Northeast,,1970-01-01T00:00:00+00:00,38.84728,-76.968068,402776.77,131078.29,9a7e66f54f092d097a649d1b4f844d79,45a13f265cd412a6387dfeda8e00ce91,0,0,0,0,POINT Z (-76.96797951698581 38.84721692508038 0),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134238,167468311,28332712,20036531,2020-02-29T15:36:05+00:00,12031982,4393.03,1.18,,,2020-02-29T05:00:00+00:00,1970-01-01T00:00:00+00:00,30332,4050 EASTERN AVE NE,38.938052,-76.96709,402853.182,141129.834,Ward 5,{89FF9465-6C79-4A86-AEB1-1A14190E86AE},3814 EASTERN AVENUE NE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12018982,BUNKER HILL RD NE,32.82,Northwest,,1970-01-01T00:00:00+00:00,38.938059,-76.967081,,,1e6ebf20e8621860ea2bb997d934fb07,1e6ebf20e8621860ea2bb997d934fb07,0,0,0,0,POINT Z (-76.96709289544482 38.93805929717978 0),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134282,167468355,26909026,16056015,2016-04-12T03:41:55+00:00,0,0.0,3.07,10913.0,11292.0,2016-04-11T04:00:00+00:00,1970-01-01T00:00:00+00:00,17667,5000 BENNING ROAD SE,38.875959,-76.930984,405991.289,134240.521,Ward 7,{A028BC66-7F99-4EFC-8549-29FC6B290996},4730 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,East,,1970-01-01T00:00:00+00:00,38.875959,-76.930984,405973.0,134517.69,369c2bd429be2d53c7d775e34fe98f97,369c2bd429be2d53c7d775e34fe98f97,0,0,0,0,POINT Z (-76.9309569694541 38.87598225183485 0),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134283,167468356,26909060,16055918,2016-04-12T04:27:24+00:00,0,0.0,7.63,986.0,14278.0,2016-04-11T04:00:00+00:00,1970-01-01T00:00:00+00:00,17667,5000 BENNING ROAD SE,38.875948,-76.931038,405981.255,134240.377,Ward 7,{BF48DCF5-FEF0-4C54-B146-8EE7A122A225},4730 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,East,,1970-01-01T00:00:00+00:00,38.875948,-76.931038,405973.0,134517.69,369c2bd429be2d53c7d775e34fe98f97,369c2bd429be2d53c7d775e34fe98f97,0,0,0,0,POINT Z (-76.9309673757981 38.87599428420157 0),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134286,167468359,26629249,12064199,2012-05-11T05:00:00+00:00,0,0.0,0.01,5465.0,15874.0,2012-05-11T04:00:00+00:00,1970-01-01T00:00:00+00:00,905148,WESTERN AVE NW and  RIVER RD NW,38.956477,-77.091247,392091.16,143178.66,Ward 3,{11606674-F217-4664-9F6B-AC333EAEBBD0},WESTERN AVENUE NW AND RIVER ROAD NW,100.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,Not Available,0.0,Northeast,,1970-01-01T00:00:00+00:00,,,,,aa59cf9e1338b9a56d131162515c61cc,aa59cf9e1338b9a56d131162515c61cc,0,0,0,0,POINT Z (-77.09124941309021 38.9564847190309 0),2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134310,167468383,26909497,16056137,2016-04-12T09:59:41+00:00,13019822,5667.12,17.31,2272.0,2742.0,2016-04-12T04:00:00+00:00,1970-01-01T00:00:00+00:00,7793,5544 C STREET SE,38.884042,-76.920665,406881.471,135138.683,Ward 7,{B587F09B-CD34-4755-B100-C91FDD8D8719},5544 C STREET SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13081512,SOUTHERN AVE SE,0.0,East,,1970-01-01T00:00:00+00:00,38.884042,-76.920665,406866.63,135149.88,58eee84963a39062617568adfa8f77e9,58eee84963a39062617568adfa8f77e9,0,0,0,0,POINT Z (-76.92082829392274 38.88395774950383 0),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134336,167468409,28333025,20036659,2020-03-01T03:08:12+00:00,13081512,8084.31,4.82,,,2020-02-29T05:00:00+00:00,1970-01-01T00:00:00+00:00,18491,SOUTHERN AVE SE & BENNING RD SE,38.876028,-76.931,405987.31,134246.4,Ward 7,{535F8D66-F110-4DEE-BF62-A67EE8743355},4651 HILLSIDE ROAD SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13016802,BOONES HILL RD SE,2.67,Northeast,,1970-01-01T00:00:00+00:00,38.875701,-76.931497,405987.31,134246.4,4543db08e9c33c233dfa7ec2c8853059,d0cde33019587ab36551c5bbaba4f246,0,0,0,0,POINT Z (-76.93145999842658 38.87567811823028 0),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134457,167468530,27988201,19048486,2019-03-23T04:07:55+00:00,0,0.0,28.68,9405.0,10165.0,2019-03-22T04:00:00+00:00,1970-01-01T00:00:00+00:00,303188,5337 WISCONSIN AVENUE NW,38.960126,-77.085398,392598.514,143583.187,Ward 3,{A7AA028F-77D9-4B4E-9CF6-ECF808B67791},5337 WISCONSIN AVENUE NW,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,Northeast,,1970-01-01T00:00:00+00:00,38.960954,-77.085461,392619.4,143591.54,d0b38d2a96a35a119484051fac35867a,d0b38d2a96a35a119484051fac35867a,0,0,0,0,POINT Z (-77.08577389351848 38.96087262832449 0),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134469,167468542,25060759,14105287,2014-07-16T05:00:00+00:00,Route not found,0.0,0.0,8979.0,16034.0,2014-07-16T04:00:00+00:00,1970-01-01T00:00:00+00:00,81353,842 51ST ST SE,38.877461,-76.930026,406071.722,134405.555,Ward 7,{3B1F8D62-BDDF-4F11-8A50-97FE3106006D},842 51ST STREET SE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134477,167468550,27157927,16212442,2016-12-17T02:32:47+00:00,13081512,9417.81,4.58,4499.0,5035.0,2016-12-16T05:00:00+00:00,1970-01-01T00:00:00+00:00,288681,"SOUTHERN AVENUE SE & CENTRAL AVENUE SE
",38.885625,-76.9186,407059.119,135315.938,Ward 7,{8C341253-EF55-4705-AB9B-3C9F0EEAD592},5581 CENTRAL AVENUE SE,200.0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13021582,CENTRAL AVE SE,8.73,Southwest,,1970-01-01T00:00:00+00:00,38.885625,-76.9186,407065.32,135322.12,c228a38131f96d6fa2499568597b1cbf,c228a38131f96d6fa2499568597b1cbf,0,0,0,0,POINT Z (-76.91863950484608 38.88566203768042 0),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134492,167468565,27660533,18068162,2018-04-29T09:17:46+00:00,12031982,3492.68,0.07,2178.0,2710.0,2018-04-29T04:00:00+00:00,1970-01-01T00:00:00+00:00,38890,EASTERN AVENUE NE,38.93285,-76.960441,403429.961,140552.611,Ward 5,{98E17E2E-2A0B-461F-BDFB-F3000C4F71B1},3203 CHESTNUT STREET NE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12003702,37TH ST NE,117.14,Northwest,,1970-01-01T00:00:00+00:00,38.932849,-76.960441,403429.96,140552.61,b5788fe4c9ad3f08ecaeaa0978283047,b5788fe4c9ad3f08ecaeaa0978283047,0,0,0,0,POINT Z (-76.96044273385667 38.93285722048622 0),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134545,167468618,25213874,15007701,2015-01-16T05:00:00+00:00,Route not found,0.0,0.0,14147.0,35849.0,2015-01-16T05:00:00+00:00,1970-01-01T00:00:00+00:00,294567,3401 4TH ST SE,38.838513,-77.000573,399950.277,130079.742,Ward 8,{B907F68C-E258-4C14-ABED-D6D524DE9246},3401 4TH STREET SE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134549,167468622,25104648,14128374,2014-08-24T05:00:00+00:00,Route not found,0.0,0.0,0.0,0.0,2014-08-24T04:00:00+00:00,1970-01-01T00:00:00+00:00,23948,4300 SOUTHERN AVE SE,38.870656,-76.938627,405325.914,133649.613,Ward 7,{146036FF-C01D-472D-AA16-4C00F4C89D31},4300 SOUTHERN AVENUE SE,100.0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134553,167468626,26633786,12083284,2012-06-15T05:00:00+00:00,Route not found,0.0,0.0,0.0,0.0,2012-06-15T04:00:00+00:00,1970-01-01T00:00:00+00:00,245884,"100 KENNEDY STREET, NW",38.956395,-77.011614,398993.384,143165.608,Ward 4,{8871AAC5-532A-439E-B3CE-FEAE7F721B4B},100 KENNEDY STREET NW,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134564,167468637,25192010,14185912,2014-12-02T05:00:00+00:00,Route not found,0.0,0.0,-9.0,24649.0,2014-12-02T05:00:00+00:00,1970-01-01T00:00:00+00:00,73062,1137 7TH ST NE,38.904875,-76.99595,400351.332,137446.437,Ward 6,{3695FD71-0366-4D02-946E-1153C13FD4B1},1137 7TH STREET NE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
